date,instrument,weight
2017-06-30,SH600000,0.01366
2017-06-30,SH600008,0.0015199999999999999
2017-06-30,SH600009,0.00345
2017-06-30,SH600010,0.0028799999999999997
2017-06-30,SH600015,0.005679999999999999
2017-06-30,SH600016,0.01867
2017-06-30,SH600018,0.00198
2017-06-30,SH600019,0.005699999999999999
2017-06-30,SH600021,0.00099
2017-06-30,SH600023,0.00214
2017-06-30,SH600028,0.00599
2017-06-30,SH600029,0.00293
2017-06-30,SH600030,0.01287
2017-06-30,SH600031,0.00299
2017-06-30,SH600036,0.023690000000000003
2017-06-30,SH600037,0.00097
2017-06-30,SH600038,0.00104
2017-06-30,SH600048,0.00681
2017-06-30,SH600050,0.0060799999999999995
2017-06-30,SH600060,0.00114
2017-06-30,SH600061,0.00166
2017-06-30,SH600066,0.0028000000000000004
2017-06-30,SH600068,0.00298
2017-06-30,SH600074,0.0012
2017-06-30,SH600085,0.00184
2017-06-30,SH600089,0.0037099999999999998
2017-06-30,SH600100,0.00241
2017-06-30,SH600104,0.01045
2017-06-30,SH600109,0.0023799999999999997
2017-06-30,SH600111,0.0023699999999999997
2017-06-30,SH600115,0.00192
2017-06-30,SH600118,0.00158
2017-06-30,SH600150,0.00151
2017-06-30,SH600153,0.0017599999999999998
2017-06-30,SH600157,0.0017000000000000001
2017-06-30,SH600170,0.0016300000000000002
2017-06-30,SH600177,0.00209
2017-06-30,SH600188,0.00045
2017-06-30,SH600196,0.00299
2017-06-30,SH600208,0.0018599999999999999
2017-06-30,SH600221,0.00203
2017-06-30,SH600233,0.00064
2017-06-30,SH600256,0.00125
2017-06-30,SH600271,0.00222
2017-06-30,SH600276,0.00821
2017-06-30,SH600297,0.00155
2017-06-30,SH600309,0.00376
2017-06-30,SH600332,0.00157
2017-06-30,SH600340,0.00381
2017-06-30,SH600352,0.00208
2017-06-30,SH600362,0.00168
2017-06-30,SH600369,0.0015199999999999999
2017-06-30,SH600372,0.0008799999999999999
2017-06-30,SH600373,0.00124
2017-06-30,SH600376,0.00113
2017-06-30,SH600383,0.00249
2017-06-30,SH600406,0.00247
2017-06-30,SH600415,0.00189
2017-06-30,SH600436,0.0017699999999999999
2017-06-30,SH600446,0.0008500000000000001
2017-06-30,SH600482,0.00084
2017-06-30,SH600485,0.00246
2017-06-30,SH600489,0.00166
2017-06-30,SH600498,0.00127
2017-06-30,SH600518,0.0062
2017-06-30,SH600519,0.022770000000000002
2017-06-30,SH600522,0.00248
2017-06-30,SH600535,0.0025900000000000003
2017-06-30,SH600547,0.0020599999999999998
2017-06-30,SH600549,0.00089
2017-06-30,SH600570,0.00222
2017-06-30,SH600583,0.00132
2017-06-30,SH600585,0.00437
2017-06-30,SH600588,0.0012
2017-06-30,SH600606,0.0027400000000000002
2017-06-30,SH600637,0.0027500000000000003
2017-06-30,SH600649,0.00128
2017-06-30,SH600660,0.0035099999999999997
2017-06-30,SH600663,0.00167
2017-06-30,SH600674,0.00208
2017-06-30,SH600682,0.00156
2017-06-30,SH600685,0.00086
2017-06-30,SH600688,0.0013900000000000002
2017-06-30,SH600690,0.00441
2017-06-30,SH600703,0.0046300000000000004
2017-06-30,SH600704,0.00121
2017-06-30,SH600705,0.00244
2017-06-30,SH600718,0.0013
2017-06-30,SH600737,0.0009299999999999999
2017-06-30,SH600739,0.00212
2017-06-30,SH600741,0.00367
2017-06-30,SH600795,0.004079999999999999
2017-06-30,SH600804,0.00193
2017-06-30,SH600816,0.0023799999999999997
2017-06-30,SH600820,0.00183
2017-06-30,SH600827,0.00125
2017-06-30,SH600837,0.01154
2017-06-30,SH600871,0.00058
2017-06-30,SH600886,0.00309
2017-06-30,SH600887,0.01261
2017-06-30,SH600893,0.00255
2017-06-30,SH600895,0.00126
2017-06-30,SH600900,0.00975
2017-06-30,SH600909,0.00105
2017-06-30,SH600919,0.00113
2017-06-30,SH600926,0.00057
2017-06-30,SH600958,0.00416
2017-06-30,SH600959,0.00158
2017-06-30,SH600977,0.00101
2017-06-30,SH600999,0.00378
2017-06-30,SH601006,0.00479
2017-06-30,SH601009,0.00391
2017-06-30,SH601018,0.00214
2017-06-30,SH601021,0.00078
2017-06-30,SH601088,0.00424
2017-06-30,SH601099,0.00263
2017-06-30,SH601111,0.00187
2017-06-30,SH601117,0.00132
2017-06-30,SH601118,0.00086
2017-06-30,SH601127,0.00034
2017-06-30,SH601155,0.00161
2017-06-30,SH601163,0.00061
2017-06-30,SH601166,0.020179999999999997
2017-06-30,SH601169,0.010709999999999999
2017-06-30,SH601186,0.00532
2017-06-30,SH601198,0.00183
2017-06-30,SH601211,0.00888
2017-06-30,SH601216,0.00159
